Sample,X,Y,Z
221,-0.160,0.051,0.941
222,-0.496,-0.180,0.918
223,-0.309,-0.094,1.027
224,0.094,-0.258,1.055
225,0.203,0.027,1.141
226,-0.051,0.156,0.930
227,-0.328,-0.094,0.953
228,-0.230,0.148,0.922
229,0.027,0.277,0.859
230,0.406,0.051,1.109
231,0.406,0.051,1.109
232,0.512,-0.203,1.090
233,0.328,-0.164,1.156
234,0.266,0.281,0.918
235,0.281,0.586,0.992
236,0.184,0.176,0.848
237,0.113,-0.055,1.141
238,-0.195,-0.238,0.941
239,-0.188,-0.133,0.922
240,-0.125,0.340,0.957
241,-0.164,0.273,0.961
242,0.133,0.051,1.004
243,0.125,-0.012,1.199
244,-0.242,-0.039,0.875
245,-0.285,-0.164,1.082
246,-0.160,-0.121,1.086
247,-0.051,0.098,0.996
248,-0.117,0.105,0.922
249,-0.289,0.145,0.965
250,-0.234,-0.203,0.945
251,0.109,-0.035,1.035
252,0.422,0.094,1.031
253,0.398,0.367,1.000
254,0.234,0.227,1.016
255,-0.004,-0.055,1.000
256,0.000,-0.098,1.004
257,0.070,-0.203,0.953
258,0.133,-0.035,1.094
259,0.020,0.164,0.910
260,0.176,0.055,1.105
261,0.164,0.023,0.898
262,0.090,0.156,1.059
263,-0.141,0.039,0.926
264,-0.059,-0.090,1.062
265,-0.051,-0.074,1.000
266,-0.199,0.094,0.980
267,-0.242,-0.016,0.953
268,-0.207,0.082,1.051
269,-0.074,0.008,0.973
270,0.086,0.086,0.992
271,0.094,0.109,1.016
272,0.012,-0.172,1.008
273,-0.027,0.113,0.938
274,0.043,0.238,1.020
275,0.113,0.004,0.926
276,0.246,-0.016,1.074
277,0.152,0.070,0.965
278,0.188,0.105,1.062
279,0.246,0.082,1.020
280,0.234,0.023,1.074
281,0.066,0.035,1.016
282,-0.199,-0.145,0.926
283,-0.262,0.156,0.883
284,-0.090,0.105,1.016
285,0.211,-0.051,1.145
286,0.285,-0.047,1.082
287,0.105,-0.070,0.922
288,-0.137,0.328,0.938
289,-0.191,0.207,0.945
290,-0.039,-0.102,1.055
291,0.000,-0.094,1.055
292,-0.141,-0.168,0.941
293,-0.129,0.023,0.984
294,-0.031,0.133,0.988
295,0.074,0.078,1.008
296,0.113,0.184,0.988
297,0.105,0.031,0.949
298,0.227,-0.270,1.141
299,0.250,-0.051,1.086
300,0.219,0.164,1.000
301,-0.023,0.098,0.910
302,-0.199,0.238,0.914
303,-0.160,-0.105,1.004
