Sample,X,Y,Z
0,0.059,0.074,0.617
1,0.035,0.035,0.996
2,0.031,0.031,1.008
3,0.035,0.012,1.008
4,0.020,0.012,1.000
5,0.027,0.031,1.008
6,0.031,0.031,0.996
7,0.027,0.035,1.000
8,0.031,0.023,1.000
9,0.027,0.031,1.004
10,0.023,0.016,1.004
11,0.031,0.039,1.008
12,0.031,0.051,0.996
13,0.031,0.055,1.004
14,0.027,0.035,1.000
15,0.023,0.035,0.988
16,0.016,0.027,1.008
17,0.016,0.043,1.000
18,0.027,0.047,0.996
19,0.023,0.051,0.996
20,0.023,0.039,1.000
21,0.023,0.023,1.000
22,0.023,0.031,1.000
23,0.020,0.020,1.000
24,0.023,0.066,1.004
25,0.016,0.043,0.984
26,0.031,0.020,1.008
27,0.039,0.008,1.000
28,0.039,0.008,0.992
29,0.020,0.027,1.012
30,0.027,0.035,1.008
31,0.031,0.043,1.004
32,0.023,0.047,1.008
33,0.031,0.031,1.016
34,0.027,0.031,0.996
35,0.023,0.027,0.996
36,0.020,0.039,1.008
37,0.020,0.047,0.996
38,0.031,0.047,0.996
39,0.043,0.047,1.004
40,0.031,0.035,0.996
41,0.016,0.035,1.004
42,0.012,0.039,1.004
43,0.027,0.039,1.000
44,0.031,0.035,0.996
45,0.035,0.035,1.004
46,0.031,0.031,0.996
47,0.027,0.031,1.020
48,0.031,0.016,1.000
49,0.020,0.004,1.008
50,0.008,0.008,1.008
51,0.035,0.047,1.000
52,0.055,0.023,1.004
53,0.047,0.062,1.000
54,0.023,0.031,1.004
55,0.031,0.027,1.000
56,0.027,0.043,1.004
57,0.039,0.043,1.004
58,0.031,0.035,1.004
59,0.020,0.043,1.000
60,0.020,0.031,1.008
61,0.031,0.031,1.004
62,0.016,0.055,1.008
63,0.027,0.047,0.996
64,0.027,0.043,1.004
65,0.035,0.035,0.996
66,0.031,0.035,1.008
67,0.031,0.039,0.996
68,0.023,0.047,1.004
69,0.031,0.043,1.000
70,0.027,0.047,1.000
71,0.031,0.035,1.004
72,0.035,0.059,1.016
73,0.016,0.012,0.992
74,0.047,0.059,1.012
75,0.051,0.051,0.992
76,0.008,0.039,0.996
77,0.035,0.105,1.000
78,0.043,0.031,1.004
79,0.027,0.023,1.008
80,0.027,0.039,1.012
81,0.035,0.039,1.000
82,0.035,0.039,1.000
83,0.035,0.039,1.008
84,0.020,0.031,1.004
85,0.016,0.020,1.008
86,0.016,0.039,1.000
87,0.027,0.047,0.996
88,0.031,0.043,0.996
89,0.027,0.031,1.000
90,0.039,0.027,1.000
91,0.027,0.039,1.004
92,0.023,0.031,1.004
93,0.027,0.031,0.988
94,0.020,0.043,1.004
95,0.039,0.031,1.008
96,0.039,0.016,0.996
97,0.016,0.039,1.000
