Sample,X,Y,Z
0,0.062,0.051,0.633
1,0.027,0.043,1.000
2,0.031,0.039,0.996
3,0.023,0.039,1.000
4,0.012,0.016,0.992
5,0.016,0.027,1.008
6,0.016,0.035,0.996
7,0.023,0.059,1.000
8,0.031,0.047,1.008
9,0.027,0.039,1.004
10,0.020,0.027,1.004
11,0.016,0.020,1.008
12,0.016,0.027,0.996
13,0.027,0.051,1.000
14,0.039,0.039,1.008
15,0.043,0.051,1.004
16,0.035,0.031,1.008
17,0.031,0.020,1.008
18,0.031,0.035,1.000
19,0.027,0.047,1.000
20,0.027,0.047,1.000
21,0.039,0.035,0.996
22,0.027,0.035,1.008
23,0.020,0.016,1.004
24,-0.004,0.012,0.992
25,0.020,0.043,1.000
26,0.020,0.027,1.008
27,0.047,0.082,1.000
28,0.020,0.020,0.992
29,0.027,-0.016,1.004
30,0.020,0.027,1.000
31,0.023,0.047,1.000
32,0.035,0.055,0.996
33,0.031,0.039,1.000
34,0.031,0.031,1.004
35,0.023,0.012,1.008
36,0.027,0.023,1.012
37,0.023,0.047,1.004
38,0.027,0.055,1.000
39,0.043,0.051,1.000
40,0.047,0.023,1.000
41,0.031,0.016,1.008
42,0.027,0.016,1.004
43,0.027,0.027,0.992
44,0.031,0.051,1.000
45,0.027,0.047,0.996
46,0.031,0.027,1.000
47,0.027,0.031,1.016
48,0.039,-0.027,1.016
49,0.027,0.035,0.984
50,0.023,0.062,0.984
51,0.016,0.066,1.004
52,0.043,0.082,1.000
53,0.055,0.047,1.004
54,0.020,0.016,1.004
55,0.027,0.043,1.004
56,0.023,0.043,0.996
57,0.027,0.051,0.996
58,0.031,0.039,1.000
59,0.043,0.031,1.004
60,0.027,0.016,1.004
61,0.020,0.020,1.004
62,0.023,0.039,0.996
63,0.031,0.047,1.000
64,0.031,0.039,1.000
65,0.039,0.035,1.000
66,0.035,0.023,1.016
67,0.035,0.012,1.004
68,0.027,0.027,1.000
69,0.027,0.047,1.004
70,0.035,0.043,1.000
71,0.035,0.031,1.000
