Sample,X,Y,Z
222,-0.238,0.094,1.027
223,-0.082,0.203,0.914
224,0.098,0.258,1.016
225,-0.105,-0.121,0.941
226,-0.035,0.176,0.988
227,-0.078,-0.117,1.004
228,-0.027,-0.113,1.094
229,0.027,0.168,0.988
230,0.016,-0.121,1.012
231,0.094,0.188,0.910
232,-0.016,0.160,1.070
233,-0.012,-0.168,0.922
234,0.352,-0.109,1.215
235,0.281,-0.016,0.980
236,0.102,0.227,0.984
237,-0.086,0.172,0.957
238,-0.016,-0.051,1.047
239,-0.035,0.219,0.844
240,0.035,0.188,0.934
241,0.082,-0.027,1.035
242,0.164,-0.031,1.102
243,0.098,0.121,0.941
244,0.164,0.219,1.066
245,-0.062,0.121,0.930
246,-0.164,0.016,1.062
247,-0.262,-0.250,0.953
248,-0.176,-0.062,1.094
249,-0.168,0.176,0.891
250,-0.070,-0.035,1.062
251,0.160,0.051,1.043
252,0.246,0.207,1.020
253,0.090,0.023,0.941
254,-0.043,0.109,0.953
255,-0.047,-0.078,1.059
256,-0.043,-0.211,0.867
257,0.086,0.160,1.121
258,-0.133,0.230,0.879
259,-0.027,0.062,0.977
260,0.094,-0.035,1.016
261,0.289,-0.082,1.148
262,0.270,0.105,1.027
263,0.215,0.062,1.016
264,0.043,-0.039,1.082
265,-0.191,0.035,0.832
266,-0.141,-0.062,0.980
267,-0.102,0.078,1.016
268,-0.176,-0.129,0.871
269,-0.113,-0.027,1.008
270,0.062,-0.074,1.035
271,0.234,0.250,0.992
272,0.160,0.270,1.020
273,0.086,-0.094,1.094
274,-0.102,-0.020,0.977
275,-0.199,-0.145,1.020
276,-0.117,-0.004,0.957
277,-0.039,0.121,1.039
278,-0.012,-0.039,0.965
279,0.039,0.277,1.039
280,0.078,0.176,0.887
281,0.203,0.102,1.027
282,0.250,0.098,1.055
283,0.094,0.055,0.941
284,-0.016,0.055,1.016
285,-0.145,0.016,0.922
286,0.078,-0.215,1.090
287,0.086,0.074,1.012
288,0.215,0.172,0.988
289,0.207,0.164,1.070
290,-0.062,-0.070,1.023
291,-0.105,-0.051,1.008
292,-0.145,-0.176,0.957
293,-0.070,0.121,0.953
294,0.129,0.172,1.090
295,0.043,-0.078,0.891
296,0.086,0.266,1.012
297,-0.039,-0.051,0.941
298,0.105,-0.211,1.125
299,0.125,0.012,0.953
300,-0.039,-0.016,1.086
301,-0.195,0.105,0.766
302,-0.039,0.137,1.098
303,0.117,-0.254,0.969
304,0.109,-0.141,1.211
305,-0.125,0.039,0.789
306,-0.113,0.203,1.039
307,0.055,-0.004,0.949
308,0.402,0.070,1.145
309,0.383,-0.016,1.102
310,0.020,0.141,0.902
311,-0.223,0.129,1.023
312,-0.258,-0.125,0.879
313,0.109,-0.039,1.059
314,0.156,-0.102,0.973
315,0.031,0.227,0.973
