Sample,X,Y,Z
0,0.000,0.062,0.598
1,0.012,0.035,0.992
2,0.023,0.047,1.000
3,0.023,0.031,1.008
4,0.016,0.012,0.992
5,0.012,0.008,1.004
6,0.023,0.004,1.004
7,0.023,0.012,1.008
8,0.031,0.031,1.004
9,0.043,0.039,1.000
10,0.035,0.023,1.008
11,0.031,0.023,1.008
12,0.016,0.016,1.004
13,0.023,0.020,1.008
14,0.035,0.031,1.004
15,0.027,0.051,0.996
16,0.031,0.051,1.004
17,0.012,0.031,1.004
18,0.016,0.035,0.996
19,0.020,0.031,1.000
20,0.027,0.047,0.992
21,0.031,0.070,0.988
22,0.027,0.043,1.000
23,0.020,0.027,0.988
24,0.000,0.059,0.992
25,0.004,-0.016,0.996
26,0.020,0.102,1.004
27,0.035,0.031,0.988
28,0.023,0.020,0.992
29,0.023,0.020,1.004
30,0.023,0.000,1.012
31,0.031,0.004,1.000
32,0.027,0.012,1.012
33,0.035,0.043,1.000
34,0.031,0.039,0.996
35,0.031,0.020,0.996
36,0.027,0.016,1.008
37,0.023,0.020,0.996
38,0.031,0.027,1.000
39,0.023,0.059,0.996
40,0.027,0.055,0.996
41,0.027,0.047,1.000
42,0.023,0.035,1.004
43,0.012,0.027,1.000
44,0.020,0.047,0.996
45,0.008,0.051,0.996
46,0.020,0.059,0.996
47,0.023,0.043,0.996
48,0.020,0.059,1.004
49,0.000,0.023,0.996
50,0.039,0.051,1.004
51,0.016,0.035,0.992
52,0.027,0.070,1.000
53,0.020,0.016,1.004
54,0.031,0.016,1.000
55,0.027,0.016,1.012
56,0.027,0.008,1.000
57,0.027,0.023,1.012
58,0.035,0.039,1.000
59,0.039,0.039,1.008
60,0.039,0.035,1.004
61,0.031,0.039,1.012
62,0.023,0.016,0.996
63,0.023,0.043,1.004
64,0.023,0.059,0.996
65,0.027,0.055,1.004
66,0.023,0.051,1.000
67,0.016,0.047,0.992
68,0.008,0.031,1.000
69,0.012,0.027,0.996
70,0.023,0.039,1.000
71,0.027,0.051,1.004
72,0.023,0.055,0.992
73,0.031,0.047,1.004
74,0.020,0.008,1.008
75,0.008,-0.016,0.980
76,0.027,0.023,1.000
77,0.035,0.047,1.008
78,0.027,0.043,1.000
79,0.039,0.027,1.004
80,0.020,0.031,1.008
81,0.020,0.016,1.000
82,0.023,0.008,1.012
83,0.039,0.043,0.996
84,0.043,0.055,1.000
85,0.035,0.047,1.008
86,0.031,0.043,0.996
87,0.023,0.023,1.000
88,0.020,0.039,1.023
89,0.062,0.023,1.078
90,0.055,-0.027,1.031
91,0.008,0.016,1.020
92,-0.141,-0.016,0.914
93,-0.105,0.098,1.000
94,0.051,0.145,1.062
95,0.250,0.305,1.121
96,0.410,0.586,1.121
97,0.430,0.629,1.082
98,0.332,0.934,0.992
99,0.141,1.113,0.961
100,-0.090,0.891,0.941
101,-0.223,1.051,1.008
