Sample,X,Y,Z
0,0.012,0.262,0.594
1,0.020,0.023,1.008
2,0.016,0.039,1.000
3,0.020,0.047,1.008
4,0.023,0.035,1.004
5,0.035,0.039,1.000
6,0.027,0.039,1.008
7,0.023,0.035,1.000
8,0.023,0.035,0.996
9,0.023,0.035,0.992
10,0.023,0.043,1.008
11,0.027,0.031,0.996
12,0.035,0.039,1.012
13,0.023,0.035,1.008
14,0.027,0.035,0.996
15,0.027,0.035,0.996
16,0.023,0.047,1.000
17,0.020,0.043,1.008
18,0.031,0.035,1.008
19,0.039,0.035,1.004
20,0.031,0.039,0.996
21,0.027,0.047,1.008
22,0.023,0.051,1.000
23,0.031,0.047,1.008
24,0.031,0.047,1.004
25,0.031,0.094,1.000
26,0.008,0.055,1.004
27,0.023,0.027,1.000
28,0.027,0.062,1.008
29,0.027,0.055,1.023
30,0.039,0.055,1.016
31,0.031,0.047,0.996
32,0.023,0.035,0.988
33,0.027,0.035,1.008
34,0.031,0.035,1.004
35,0.023,0.039,1.004
36,0.035,0.051,1.016
37,0.023,0.043,1.000
38,0.023,0.047,1.000
39,0.020,0.027,0.996
40,0.016,0.027,1.000
41,0.027,0.047,1.004
42,0.027,0.047,1.004
43,0.031,0.047,1.004
44,0.031,0.055,1.008
45,0.023,0.035,1.000
46,0.031,0.031,1.004
47,0.027,0.043,1.000
48,0.023,0.047,0.984
49,0.023,0.031,1.004
50,0.016,0.059,0.996
51,0.027,0.074,0.996
52,0.023,0.035,1.004
53,0.020,0.004,1.000
54,0.027,0.039,0.996
55,0.027,0.043,1.012
56,0.031,0.043,1.000
57,0.039,0.043,1.008
58,0.031,0.047,1.008
59,0.035,0.039,1.000
60,0.027,0.043,1.000
61,0.031,0.047,1.020
62,0.023,0.031,1.004
63,0.027,0.047,1.004
64,0.023,0.043,1.000
65,0.031,0.031,1.004
66,0.027,0.047,0.996
67,0.027,0.047,1.004
68,0.023,0.047,1.004
69,0.039,0.043,1.000
70,0.031,0.039,1.004
71,0.035,0.039,1.012
72,0.020,0.086,1.012
73,0.035,0.066,1.000
74,0.043,0.074,1.012
75,0.043,0.035,1.008
76,0.039,0.027,1.020
77,0.016,0.059,1.012
78,0.023,0.039,0.996
79,0.016,0.047,1.000
80,0.031,0.039,1.004
81,0.031,0.039,0.996
82,0.035,0.031,1.008
83,0.035,0.039,1.004
84,0.027,0.031,0.996
85,0.023,0.039,1.004
86,0.031,0.047,1.000
87,0.035,0.043,1.004
88,0.039,0.039,1.012
89,0.023,0.039,1.000
90,0.020,0.031,0.996
91,0.020,0.047,1.008
92,0.023,0.047,1.000
93,0.027,0.035,1.012
94,0.035,0.043,1.008
95,0.039,0.031,1.000
96,0.039,0.047,1.000
97,0.004,0.055,0.996
98,0.031,0.059,0.984
99,0.008,0.020,0.996
100,-0.020,0.004,0.875
101,0.090,0.027,0.973
102,0.320,-0.137,1.000
103,0.719,-0.027,1.160
104,0.785,0.133,1.086
105,0.645,0.332,1.047
106,0.312,0.336,0.914
107,0.066,0.004,0.922
108,0.137,-0.195,0.973
109,0.293,-0.270,1.031
110,0.457,-0.102,1.047
111,0.496,0.203,1.027
112,0.426,0.223,1.000
