Sample,X,Y,Z
221,-0.219,-0.145,1.219
222,-0.047,-0.242,1.203
223,0.254,0.617,1.145
224,0.309,0.391,1.027
225,0.324,0.027,1.348
226,0.023,0.438,0.824
227,-0.117,-0.074,0.551
228,-0.062,-0.617,0.918
229,-0.059,-0.098,1.125
230,-0.117,0.488,0.648
231,-0.133,0.652,0.980
232,-0.477,0.031,1.035
233,-0.254,0.379,0.930
234,0.379,0.344,1.414
235,0.402,-0.266,1.035
236,0.512,0.453,1.004
237,0.148,0.527,0.863
238,-0.074,-0.664,0.969
239,-0.043,-0.582,0.828
240,-0.027,-0.379,1.008
241,-0.008,-0.922,1.406
242,-0.012,0.062,1.020
243,0.176,0.414,0.992
244,0.012,0.316,0.914
245,0.344,0.090,1.234
246,0.348,0.609,0.910
247,0.141,-0.051,0.957
248,-0.180,0.000,0.457
249,-0.156,-0.254,0.895
250,-0.039,-0.566,1.238
251,0.109,-0.117,0.945
252,-0.285,0.820,0.758
253,-0.527,-0.070,1.012
254,-0.176,-0.148,1.305
255,0.422,0.125,1.324
256,0.449,-0.152,1.137
257,0.133,0.176,0.902
258,0.031,0.188,0.863
259,0.195,-0.473,1.242
260,0.250,-0.086,0.680
261,0.215,-0.266,1.000
262,-0.246,-0.070,0.934
263,-0.105,-0.016,0.824
264,0.293,0.422,1.375
265,0.152,0.641,0.773
266,-0.039,0.359,0.852
267,-0.137,-0.113,1.352
268,-0.121,-0.258,0.789
269,0.172,-0.660,1.000
270,0.297,-0.559,1.344
271,0.039,-0.242,0.781
272,-0.211,0.344,0.926
273,-0.516,0.309,0.863
274,-0.422,-0.027,0.945
275,0.027,-0.172,1.152
276,0.285,-0.082,1.367
277,0.098,0.352,0.840
278,0.156,0.648,1.023
279,0.156,0.648,1.023
280,0.141,0.363,0.957
281,0.180,-0.164,0.887
282,0.324,-0.305,1.051
283,-0.039,-0.062,0.898
284,-0.148,-0.535,1.027
285,0.023,-0.188,1.125
286,0.012,0.672,0.895
287,0.148,-0.207,1.145
288,0.090,0.297,1.074
289,0.078,0.457,1.004
290,-0.020,-0.129,0.996
291,0.094,-0.594,1.137
292,0.035,-0.004,0.570
293,0.094,0.289,1.070
294,-0.387,0.859,0.848
295,-0.590,0.723,0.457
296,-0.246,0.047,1.223
297,0.094,-0.633,1.512
298,0.379,-0.332,1.172
299,0.129,0.543,1.098
300,-0.199,0.277,0.980
301,-0.023,-0.051,0.949
302,0.414,0.160,1.102
303,0.164,-0.262,0.680
304,0.133,-0.594,1.047
305,-0.180,-0.180,0.809
306,0.008,0.109,1.121
307,0.039,-0.203,1.219
308,-0.086,0.613,1.004
309,-0.191,0.492,0.852
310,0.227,-0.176,1.594
311,0.645,0.684,0.906
312,0.398,0.129,0.836
313,-0.336,-0.879,0.707
314,-0.262,-0.449,0.852
315,-0.160,-0.039,1.078
316,-0.316,0.633,0.582
317,-0.324,0.504,0.766
318,-0.371,-0.258,1.602
319,-0.066,-0.578,1.375
320,0.465,0.242,1.059
321,0.340,0.707,0.977
322,0.082,0.180,1.004
323,0.359,-0.070,1.020
324,0.438,-0.207,0.734
325,0.113,-0.664,0.754
326,-0.461,-0.387,0.910
327,-0.582,-0.012,1.035
328,-0.113,-0.203,1.168
329,0.047,0.742,1.098
330,0.051,1.008,0.887
331,0.344,0.121,1.379
332,0.484,0.109,1.344
333,0.270,0.465,0.359
334,0.250,-0.820,1.160
335,-0.117,-1.098,1.098
336,-0.082,0.410,0.617
337,-0.336,0.648,0.574
338,-0.539,-0.242,1.066
339,-0.410,0.051,1.281
340,0.043,0.203,1.531
341,0.332,-0.258,0.953
342,0.488,1.047,1.160
343,0.395,0.781,1.066
344,0.477,-0.574,0.938
