Sample,X,Y,Z
0,0.027,0.008,0.820
1,0.031,0.051,1.000
2,0.031,0.031,1.004
3,0.031,0.051,1.012
4,0.023,0.047,1.008
5,0.027,0.047,1.004
6,0.043,0.039,0.996
7,0.027,0.027,1.004
8,0.035,0.035,1.000
9,0.035,0.039,1.000
10,0.027,0.031,0.996
11,0.035,0.043,1.004
12,0.031,0.039,1.000
13,0.027,0.047,0.996
14,0.031,0.047,1.012
15,0.031,0.035,1.000
16,0.031,0.039,1.008
17,0.023,0.051,1.008
18,0.031,0.047,0.996
19,0.023,0.047,1.004
20,0.031,0.039,1.008
21,0.031,0.039,1.004
22,0.031,0.039,1.004
23,0.027,0.043,1.000
24,0.023,0.035,0.996
25,0.051,0.008,1.012
26,0.023,0.043,1.016
27,0.051,0.059,1.008
28,0.027,0.027,1.000
29,0.023,0.059,1.012
30,0.023,0.047,1.004
31,0.027,0.051,1.000
32,0.027,0.043,0.996
33,0.039,0.047,1.004
34,0.031,0.043,1.000
35,0.031,0.043,1.000
36,0.035,0.039,1.008
37,0.031,0.035,1.000
38,0.035,0.039,1.004
39,0.035,0.035,1.004
40,0.035,0.031,1.000
41,0.027,0.043,1.004
42,0.023,0.039,1.004
43,0.023,0.031,1.004
44,0.020,0.039,1.004
45,0.023,0.043,1.012
46,0.031,0.039,1.000
47,0.031,0.047,1.012
48,0.035,0.066,1.004
49,0.059,0.070,1.000
50,0.031,0.020,1.004
51,0.035,0.062,0.992
52,0.035,0.023,1.012
53,0.027,0.055,1.008
54,0.023,0.039,0.996
55,0.031,0.043,1.004
56,0.027,0.043,1.000
57,0.027,0.039,0.992
58,0.035,0.043,1.004
59,0.035,0.031,1.000
60,0.031,0.047,1.000
61,0.031,0.031,1.000
62,0.023,0.031,0.992
63,0.031,0.043,1.004
64,0.027,0.039,1.012
65,0.039,0.031,1.004
66,0.031,0.043,1.012
67,0.023,0.047,1.000
68,0.020,0.043,1.004
69,0.023,0.043,1.004
70,0.031,0.035,1.004
71,0.031,0.035,1.000
72,0.035,0.059,1.012
73,0.031,0.066,1.004
74,0.027,0.027,1.000
75,0.051,0.070,0.992
76,0.023,-0.012,1.012
77,0.020,0.066,1.016
78,0.031,0.043,1.004
79,0.020,0.043,0.996
80,0.020,0.039,1.000
81,0.027,0.039,1.000
82,0.031,0.039,0.992
83,0.031,0.043,1.004
84,0.031,0.039,1.000
85,0.027,0.035,1.004
86,0.027,0.039,1.004
87,0.027,0.039,1.004
88,0.039,0.039,1.000
89,0.035,0.043,1.004
90,0.035,0.039,1.004
91,0.031,0.031,0.996
92,0.027,0.043,1.012
93,0.023,0.043,1.004
94,0.027,0.031,1.008
95,0.027,0.051,1.008
96,0.035,0.039,1.004
97,0.023,-0.004,1.020
98,0.020,0.035,1.020
99,0.023,0.023,0.980
100,0.027,0.070,1.000
101,0.000,0.016,0.902
102,0.066,0.094,0.938
103,0.246,-0.109,1.004
104,0.605,-0.082,1.113
105,0.801,0.078,1.133
106,0.691,0.266,1.043
107,0.426,0.391,0.953
108,0.113,0.129,0.891
109,0.098,-0.141,0.980
110,0.242,-0.309,1.004
111,0.430,-0.223,1.066
112,0.508,0.145,1.023
113,0.445,0.297,1.000
114,0.359,0.246,0.977
115,0.328,-0.125,1.020
116,0.379,-0.340,1.074
117,0.434,-0.160,1.047
118,0.457,0.102,1.039
119,0.418,0.332,1.008
120,0.312,0.219,1.008
121,0.270,0.047,0.973
122,0.199,-0.164,0.957
123,0.148,-0.113,0.922
124,0.219,-0.141,0.910
125,0.383,0.020,0.973
126,0.824,0.055,1.062
127,1.262,0.047,1.105
128,1.414,0.410,1.109
129,1.031,0.492,1.027
130,0.598,0.176,1.004
131,0.195,-0.207,0.938
132,-0.098,-0.402,0.875
133,0.008,-0.320,0.914
134,0.461,-0.238,1.023
135,0.977,0.219,1.102
136,1.082,0.566,1.148
137,0.715,0.410,0.973
138,0.219,0.148,0.879
139,-0.121,-0.508,0.934
140,0.152,-0.707,1.215
141,0.586,-0.328,1.094
142,0.914,0.289,1.012
143,0.645,0.801,0.941
144,0.090,0.652,0.672
145,0.203,-0.035,1.059
146,0.469,-1.102,1.133
147,0.660,-0.410,1.137
148,0.559,0.398,0.898
149,0.621,0.168,1.090
150,0.848,0.543,0.891
151,0.719,0.352,0.906
152,0.582,-0.227,1.012
153,0.680,-0.422,1.227
154,0.648,-0.402,1.051
155,0.617,0.340,1.023
156,0.516,0.574,0.824
157,0.480,0.188,0.902
158,0.438,0.230,0.867
159,0.633,-0.234,1.215
160,0.645,-0.465,1.078
161,0.574,-0.141,1.055
162,0.453,0.219,1.051
163,0.410,0.262,1.027
164,0.324,0.188,0.742
165,0.402,-0.180,1.129
166,0.277,-0.293,0.980
167,0.512,-0.117,1.051
168,0.539,0.133,1.059
169,0.590,0.180,1.105
170,0.422,0.156,0.727
171,0.695,0.301,1.074
172,0.574,-0.164,1.078
173,0.574,-0.008,0.973
174,0.590,-0.160,1.102
175,0.406,-0.355,1.027
176,0.527,0.336,0.891
177,0.477,0.379,0.930
178,0.516,0.316,0.910
