Sample,X,Y,Z
221,-0.035,-0.910,1.148
222,0.266,0.684,0.746
223,0.082,-0.109,1.148
224,0.055,-0.941,1.297
225,0.160,0.715,0.562
226,0.125,-0.074,0.887
227,-0.141,-1.543,1.066
228,-0.199,-0.340,0.648
229,-0.016,-0.398,1.129
230,0.219,-1.023,1.578
231,-0.176,0.852,0.500
232,-0.367,1.285,0.762
233,-0.141,-1.031,1.574
234,0.484,-0.625,1.418
235,0.457,0.746,0.590
236,0.078,-0.273,1.090
237,-0.160,-0.586,0.684
238,0.434,0.527,1.289
239,0.172,0.332,0.734
240,-0.043,-0.547,0.789
241,-0.051,0.133,1.254
242,-0.004,0.094,1.148
243,0.355,-0.262,1.344
244,0.285,0.508,1.012
245,-0.027,0.438,0.727
246,-0.016,-0.094,1.227
247,0.145,-0.070,0.828
248,-0.090,-0.074,0.719
249,-0.371,-0.199,1.113
250,-0.430,-0.238,1.066
251,-0.371,0.504,0.789
252,-0.277,1.043,0.914
253,-0.031,0.809,1.000
254,0.426,0.145,1.477
255,0.328,0.488,0.938
256,0.090,0.668,0.703
257,-0.160,-0.586,1.215
258,-0.270,-0.391,0.883
259,-0.012,0.023,0.496
260,0.258,-0.859,1.371
261,-0.086,-0.180,1.016
262,-0.211,0.332,0.930
263,0.074,0.184,1.227
264,0.492,-0.172,1.148
265,0.652,0.152,1.215
266,0.367,0.656,0.969
267,-0.012,-0.984,0.863
268,-0.387,-0.695,0.555
269,0.008,0.762,0.707
270,0.238,0.012,1.516
271,-0.457,-0.234,0.504
272,-0.633,1.164,0.664
273,-0.465,-0.277,1.324
274,0.562,-1.812,1.793
275,0.773,1.340,0.977
276,-0.055,1.121,0.344
277,-0.504,-1.109,1.305
278,-0.168,-0.316,1.215
279,0.043,0.105,0.344
280,-0.035,-0.734,0.895
281,-0.289,-0.543,1.164
282,-0.078,0.430,1.035
283,0.180,0.770,1.141
284,0.137,0.668,1.066
285,0.156,0.707,1.020
286,0.312,0.246,1.219
287,0.438,0.141,0.992
288,0.289,-0.324,1.074
289,-0.469,-0.586,0.602
290,-0.152,-0.590,0.719
291,0.461,-0.469,1.453
292,-0.059,0.602,0.523
293,-0.594,1.512,0.648
294,-0.555,-0.316,1.402
295,0.160,-0.555,1.516
296,0.586,0.938,0.953
297,0.324,0.656,1.195
298,-0.137,-0.773,0.934
299,-0.137,0.766,0.652
300,0.234,-0.180,0.719
301,0.145,-1.277,1.141
302,-0.496,0.188,0.309
303,-0.363,-0.168,0.953
304,-0.137,-0.941,1.691
305,-0.121,1.148,0.836
306,0.160,1.461,0.902
307,0.176,-0.566,1.500
308,0.441,-0.617,1.395
309,0.613,0.707,0.504
310,0.344,-1.020,1.312
311,-0.219,-1.305,0.680
312,-0.254,0.719,0.492
313,-0.480,0.375,0.641
314,-0.320,-0.320,1.266
315,-0.223,0.531,0.914
316,0.016,0.844,1.223
317,0.289,-0.852,1.738
318,0.695,0.176,1.477
319,0.547,1.027,0.531
320,0.152,-0.246,0.961
321,-0.082,-0.586,0.824
322,0.023,-0.254,0.895
323,-0.387,-0.086,0.184
324,-0.215,-0.035,1.219
325,-0.547,-0.684,1.234
326,-0.145,0.855,1.027
327,0.398,0.824,1.301
328,0.617,-0.359,1.621
329,0.520,1.129,0.891
330,0.223,0.957,0.688
331,0.070,-0.730,1.043
332,-0.238,-0.496,0.906
333,-0.559,0.223,0.582
334,-0.457,-0.945,0.902
335,-0.121,-0.453,1.473
336,-0.043,0.719,0.523
337,0.172,0.836,1.137
338,0.371,0.090,1.688
339,0.469,-0.008,0.984
340,0.359,0.973,0.531
341,0.035,0.203,0.805
342,0.133,-0.809,1.254
343,0.078,-0.414,0.949
344,-0.367,0.016,0.281
345,-0.449,-0.289,1.070
346,-0.270,-0.984,1.711
347,-0.023,0.590,0.730
348,0.504,0.484,1.309
349,0.285,-0.766,1.273
350,0.273,0.738,1.027
351,0.320,0.406,0.867
352,0.391,-0.523,1.000
353,0.012,0.141,0.781
354,-0.414,-0.523,0.723
355,-0.199,-0.480,1.180
356,-0.086,-0.457,0.988
357,-0.090,0.570,0.938
358,0.223,0.277,1.301
359,0.203,-0.496,1.203
360,0.320,1.047,0.613
361,0.215,1.133,0.668
362,0.098,-0.332,1.293
363,-0.043,0.605,0.602
364,0.031,-0.078,0.938
365,-0.309,-1.059,1.160
366,-0.223,0.020,1.059
367,-0.043,0.543,0.941
368,0.062,-0.395,1.211
369,0.230,0.375,1.230
370,0.344,0.473,0.918
371,0.230,-0.480,1.062
372,0.027,0.020,0.949
373,-0.020,0.465,0.863
374,-0.016,-0.293,0.969
375,-0.027,0.094,1.004
376,-0.070,0.371,0.867
377,-0.160,0.109,1.141
378,-0.020,0.168,1.289
379,0.160,0.496,0.863
380,0.359,-0.906,1.266
381,0.055,0.191,0.895
