Sample,X,Y,Z
0,0.051,0.074,0.703
1,0.031,0.035,1.008
2,0.020,0.039,1.000
3,0.023,0.039,1.000
4,0.023,0.043,1.004
5,0.023,0.027,1.008
6,0.039,0.039,1.000
7,0.020,0.043,0.996
8,0.012,0.047,1.000
9,0.023,0.039,0.996
10,0.027,0.031,0.996
11,0.035,0.035,1.008
12,0.039,0.039,1.000
13,0.027,0.031,1.000
14,0.027,0.043,1.008
15,0.020,0.027,0.992
16,0.031,0.035,1.004
17,0.031,0.039,1.000
18,0.031,0.051,0.992
19,0.027,0.051,1.004
20,0.020,0.047,0.996
21,0.031,0.039,1.000
22,0.031,0.031,0.996
23,0.035,0.027,1.008
24,0.047,0.035,0.992
25,0.031,0.102,1.004
26,0.023,0.051,1.000
27,0.023,0.051,1.016
28,0.043,0.004,0.992
29,0.043,0.059,1.004
30,0.027,0.043,1.000
31,0.027,0.047,1.004
32,0.023,0.035,0.992
33,0.020,0.039,1.004
34,0.027,0.031,1.004
35,0.031,0.043,0.996
36,0.027,0.031,1.008
37,0.027,0.035,0.996
38,0.023,0.043,1.000
39,0.027,0.039,1.008
40,0.035,0.039,1.000
41,0.043,0.047,1.004
42,0.031,0.051,1.008
43,0.027,0.047,0.996
44,0.023,0.039,1.012
45,0.020,0.035,1.004
46,0.027,0.031,1.000
47,0.023,0.035,1.004
48,0.039,0.020,1.004
49,0.035,0.027,0.988
50,0.047,0.062,1.008
51,0.035,0.035,1.004
52,0.035,0.070,1.004
53,0.059,0.066,1.016
54,0.027,0.047,1.012
55,0.031,0.035,1.004
56,0.027,0.043,1.000
57,0.023,0.043,1.000
58,0.031,0.047,1.004
59,0.023,0.047,1.000
60,0.031,0.027,0.992
61,0.039,0.043,1.012
62,0.035,0.043,1.000
63,0.031,0.043,1.004
64,0.035,0.039,1.008
65,0.023,0.031,1.008
66,0.035,0.035,1.000
67,0.035,0.039,1.004
68,0.027,0.043,1.000
69,0.035,0.035,1.004
70,0.027,0.043,1.000
71,0.023,0.035,1.000
72,0.051,0.012,1.012
73,0.051,0.008,1.020
74,0.027,0.000,1.004
75,0.051,0.074,1.004
76,0.027,0.020,1.000
77,0.027,0.000,0.988
78,0.027,0.043,1.008
79,0.031,0.035,1.004
80,0.035,0.043,1.008
81,0.020,0.043,1.004
82,0.031,0.039,1.000
83,0.020,0.035,1.004
84,0.027,0.035,1.004
85,0.035,0.043,1.012
86,0.031,0.047,1.008
87,0.031,0.047,1.008
88,0.027,0.035,0.996
89,0.035,0.031,1.004
90,0.035,0.031,1.004
91,0.031,0.043,1.004
92,0.031,0.039,1.004
93,0.027,0.047,1.000
94,0.035,0.043,1.008
95,0.035,0.035,1.000
96,0.027,0.035,0.996
97,0.008,0.020,0.996
98,0.004,0.023,0.938
99,-0.012,0.047,0.965
100,0.074,-0.051,0.922
101,0.398,-0.066,1.016
102,0.590,0.012,1.020
103,0.793,0.086,1.152
104,0.746,0.121,1.082
105,0.566,0.152,1.000
106,0.387,0.117,0.934
107,0.309,-0.098,0.945
108,0.453,-0.055,0.988
109,0.598,0.016,1.082
110,0.531,-0.004,1.090
111,0.309,0.172,0.965
112,0.141,0.066,0.941
113,0.152,-0.133,0.965
114,0.309,-0.094,1.012
115,0.441,0.055,1.062
116,0.469,0.141,1.094
117,0.395,0.148,1.043
118,0.289,0.176,0.965
119,0.121,0.039,0.887
120,0.035,-0.129,0.934
121,0.191,-0.273,0.949
122,0.668,-0.203,1.121
123,1.129,0.023,1.090
124,1.316,0.398,1.066
125,0.988,0.566,0.965
126,0.621,0.391,0.965
127,0.352,-0.129,0.930
128,0.176,-0.426,0.918
129,0.219,-0.445,0.992
130,0.594,-0.332,1.105
131,1.090,0.277,1.078
132,1.133,0.691,1.145
133,0.629,0.406,0.949
134,0.043,0.160,0.836
135,-0.293,-0.426,0.855
136,0.066,-0.863,1.148
137,0.566,-0.316,1.219
138,0.906,0.312,1.000
139,0.934,0.609,1.086
140,0.285,0.809,0.730
141,0.066,0.301,0.863
142,0.145,-0.895,1.113
143,0.469,-0.984,1.176
144,0.691,-0.141,1.082
145,0.656,0.340,0.996
146,0.691,0.750,0.770
147,0.785,0.621,0.941
148,0.625,-0.109,0.953
149,0.727,-0.355,1.113
150,0.711,-0.688,1.152
151,0.656,0.012,1.113
152,0.625,0.559,0.855
153,0.602,0.609,0.805
154,0.555,0.227,0.922
155,0.559,-0.195,1.137
156,0.648,-0.543,1.160
157,0.520,-0.410,1.145
158,0.258,0.227,0.969
159,0.207,0.211,0.906
160,0.289,0.117,0.930
161,0.477,0.051,0.945
162,0.613,-0.281,1.129
163,0.371,-0.094,1.008
164,0.367,0.109,0.934
165,0.531,0.086,1.184
166,0.555,0.027,0.836
167,0.828,0.340,1.012
168,0.609,-0.031,1.133
169,0.473,-0.055,0.848
170,0.688,0.051,1.168
171,0.547,-0.289,0.984
172,0.641,0.305,1.000
173,0.348,0.234,0.898
174,0.273,0.219,0.922
175,0.375,0.266,0.918
176,0.434,-0.520,1.113
177,0.574,-0.141,1.055
178,0.496,-0.066,1.074
179,0.402,0.000,1.008
180,0.543,0.469,1.000
181,0.414,0.332,1.027
182,0.215,-0.098,0.973
183,0.039,-0.363,1.105
184,-0.055,-0.328,1.016
185,0.035,-0.047,0.926
186,0.176,0.383,0.938
187,0.293,0.402,0.961
188,0.289,0.062,0.910
189,0.328,-0.035,1.047
190,0.320,-0.340,1.238
191,0.305,-0.285,1.094
192,0.441,-0.242,1.039
193,0.168,0.906,0.871
194,-0.090,0.719,0.762
195,-0.113,0.039,0.980
196,-0.004,-0.773,1.188
197,-0.109,-0.473,0.961
198,0.094,0.129,1.082
199,0.148,0.309,0.879
200,0.410,0.773,1.055
201,0.289,0.039,1.035
202,0.117,-0.477,1.121
203,-0.152,-0.195,1.000
204,-0.340,0.062,0.871
205,-0.090,0.383,0.949
206,0.094,0.359,0.930
207,0.176,-0.109,1.074
208,-0.012,-0.164,0.965
209,-0.156,0.055,1.047
210,-0.141,-0.062,1.012
211,0.070,0.145,0.973
212,0.211,0.152,1.125
213,0.129,-0.312,1.008
214,0.148,0.211,1.008
215,0.012,0.250,0.844
216,0.180,0.340,1.145
217,0.121,-0.176,0.980
218,-0.047,-0.078,1.105
219,-0.227,-0.117,0.898
220,-0.141,-0.199,1.082
221,0.039,0.422,0.836
222,0.031,0.352,1.055
223,-0.113,-0.219,0.930
224,0.027,0.094,1.023
225,0.121,-0.145,1.070
226,0.172,0.117,1.078
227,0.086,0.438,0.898
228,0.004,-0.090,1.047
229,-0.148,-0.109,1.016
230,-0.133,0.098,0.934
231,-0.039,0.016,0.902
232,0.098,-0.023,1.023
233,0.133,0.270,1.043
234,0.168,-0.082,1.039
235,0.266,0.039,1.020
236,0.086,0.270,0.906
237,0.051,0.051,1.070
238,0.180,-0.246,1.125
239,0.211,0.094,1.043
240,-0.082,0.121,0.820
241,-0.105,-0.086,1.102
242,-0.008,0.082,0.988
243,0.082,0.148,0.945
244,-0.027,-0.078,0.992
245,-0.047,0.102,1.109
246,-0.098,-0.094,0.953
247,0.012,0.008,1.090
248,0.016,0.266,0.906
249,-0.004,0.191,0.918
250,-0.176,-0.102,1.004
251,-0.062,-0.004,0.980
252,0.227,0.098,1.039
253,0.219,0.211,1.004
254,0.078,0.148,1.039
255,-0.141,-0.078,0.980
256,0.004,0.086,1.047
257,0.066,-0.020,0.898
258,0.066,0.000,1.113
259,0.059,0.008,1.004
260,0.109,-0.082,0.996
261,0.094,0.293,1.000
262,-0.008,0.109,0.957
263,-0.023,0.094,0.945
264,-0.035,-0.168,1.047
265,-0.109,-0.020,0.906
266,-0.051,0.328,1.039
267,-0.059,-0.195,0.965
268,0.082,0.012,1.117
269,0.102,0.141,0.973
270,0.090,0.098,1.078
271,0.023,0.039,1.016
272,-0.086,-0.191,1.016
273,0.000,0.027,0.922
274,0.043,0.086,1.004
275,-0.082,0.109,0.926
276,-0.070,-0.094,0.965
277,-0.008,0.055,0.977
278,0.180,0.027,1.039
279,0.168,0.094,0.988
280,0.133,0.105,1.086
281,0.102,-0.086,1.043
282,0.066,0.117,1.055
283,-0.121,0.125,0.949
284,-0.133,-0.012,0.977
285,-0.070,-0.062,0.980
286,-0.051,-0.023,1.008
287,0.055,0.227,0.988
288,-0.004,0.180,0.992
289,0.062,-0.117,1.043
290,0.176,0.000,0.988
291,0.098,0.156,0.957
292,-0.035,0.156,0.996
293,-0.086,0.172,0.973
294,-0.035,-0.230,1.016
295,0.086,0.039,1.012
296,0.219,0.133,1.004
297,0.141,0.211,1.094
298,0.051,-0.113,0.977
299,0.109,-0.070,1.027
300,0.082,0.000,1.004
301,-0.023,0.234,0.898
302,-0.051,0.031,1.039
303,-0.051,0.031,1.039
304,0.016,-0.238,0.957
305,0.141,-0.051,1.102
306,0.008,0.180,0.840
307,0.090,0.262,1.094
308,0.047,-0.172,1.023
309,0.047,-0.227,1.148
310,-0.254,0.051,0.816
311,-0.320,-0.059,1.000
312,-0.121,-0.078,0.969
313,0.086,0.086,1.141
314,0.137,0.098,0.934
315,0.066,0.176,0.984
316,-0.031,0.023,0.980
317,0.082,-0.086,1.059
318,0.273,0.055,1.074
319,0.152,0.094,0.945
320,0.016,-0.016,1.016
321,-0.004,0.016,0.945
322,0.102,0.137,1.008
323,0.203,0.062,0.992
324,0.145,0.141,1.000
325,0.039,0.129,1.023
326,0.039,-0.234,0.984
327,0.102,0.199,1.059
328,0.055,0.227,0.895
329,0.043,0.055,1.086
330,-0.086,0.043,0.953
331,-0.215,-0.070,0.922
332,-0.070,-0.234,1.078
333,0.105,-0.125,1.020
334,0.305,-0.004,1.160
335,0.168,0.156,1.020
336,0.043,0.141,0.988
337,-0.320,0.074,0.891
338,-0.285,0.035,0.988
339,-0.074,-0.316,0.934
340,0.141,0.035,1.035
341,0.172,0.191,0.984
342,0.219,0.285,1.039
343,0.207,0.129,0.949
344,0.242,0.148,1.109
345,0.156,-0.215,1.031
346,-0.059,0.125,0.973
347,-0.156,0.094,0.973
348,-0.012,-0.195,0.984
349,0.145,0.301,0.965
350,0.117,0.062,0.957
