Sample,X,Y,Z
0,0.062,0.133,0.566
1,0.031,0.035,1.000
2,0.023,0.031,1.000
3,0.035,0.035,1.004
4,0.027,0.035,0.996
5,0.031,0.035,1.000
6,0.023,0.035,0.996
7,0.027,0.027,1.008
8,0.023,0.039,0.996
9,0.027,0.035,0.996
10,0.023,0.039,1.000
11,0.027,0.035,1.004
12,0.023,0.031,0.992
13,0.035,0.035,1.000
14,0.031,0.027,1.012
15,0.031,0.039,0.996
16,0.023,0.043,0.996
17,0.020,0.035,1.004
18,0.016,0.039,0.992
19,0.020,0.035,1.004
20,0.031,0.035,1.012
21,0.023,0.039,1.000
22,0.016,0.035,1.004
23,0.020,0.027,1.004
24,0.031,0.043,1.004
25,0.012,0.078,1.004
26,0.043,0.039,1.000
27,0.039,0.066,1.004
28,0.027,0.012,1.012
29,0.031,0.039,1.012
30,0.035,0.035,1.008
31,0.027,0.043,1.008
32,0.027,0.035,1.000
33,0.027,0.039,1.008
34,0.023,0.027,1.000
35,0.016,0.047,1.004
36,0.020,0.031,1.004
37,0.023,0.039,1.000
38,0.035,0.039,0.996
39,0.031,0.047,1.004
40,0.031,0.039,1.000
41,0.027,0.051,1.008
42,0.031,0.039,1.000
43,0.027,0.039,1.000
44,0.035,0.047,1.004
45,0.023,0.039,0.992
46,0.027,0.035,1.008
47,0.020,0.031,1.008
48,0.031,0.008,0.988
49,0.035,0.023,0.992
50,0.027,0.031,1.000
51,0.031,0.008,0.992
52,0.027,0.035,1.000
53,0.039,0.043,0.992
54,0.027,0.035,1.000
55,0.027,0.047,1.000
56,0.023,0.039,1.000
57,0.023,0.035,1.000
58,0.031,0.039,1.012
59,0.027,0.039,1.000
60,0.020,0.039,1.008
61,0.023,0.043,1.004
62,0.016,0.035,1.004
63,0.031,0.043,1.000
64,0.035,0.035,1.008
65,0.031,0.031,1.000
66,0.027,0.047,1.004
67,0.027,0.051,0.996
68,0.027,0.039,1.004
69,0.031,0.039,1.008
70,0.023,0.039,1.000
71,0.023,0.027,1.004
72,0.020,0.055,0.996
73,0.023,0.047,1.008
74,0.031,0.086,1.008
75,0.020,0.016,0.992
76,0.012,0.078,0.996
77,0.039,0.051,1.016
78,0.039,0.035,1.004
79,0.027,0.035,1.000
80,0.027,0.047,1.012
81,0.027,0.043,0.996
82,0.031,0.031,0.992
83,0.023,0.043,1.012
84,0.020,0.031,1.004
85,0.027,0.031,1.008
86,0.027,0.039,1.004
87,0.020,0.043,1.004
88,0.012,0.020,0.949
89,-0.004,0.102,0.812
90,0.156,0.016,0.871
91,0.602,-0.203,0.953
92,1.363,-0.152,1.180
93,1.820,0.098,1.180
94,1.859,0.461,1.145
95,1.469,0.504,0.992
96,1.004,0.172,0.957
97,0.785,-0.277,0.969
98,0.812,-0.379,1.059
99,0.730,-0.254,1.039
100,0.527,0.164,1.039
101,0.316,0.234,0.973
102,0.117,0.184,0.949
103,-0.031,-0.020,0.871
104,-0.125,-0.324,1.039
105,-0.121,-0.434,1.082
106,0.148,-0.266,1.191
107,0.398,0.012,1.129
108,0.434,0.527,1.020
109,0.242,0.508,0.836
110,0.070,0.266,0.750
111,-0.035,0.059,0.750
112,0.195,-0.660,1.016
113,0.875,-0.750,1.320
114,1.449,-0.047,1.250
115,1.617,0.762,0.992
116,1.262,1.250,0.762
117,0.539,0.613,0.629
118,0.324,-0.285,0.906
119,0.629,-1.277,1.383
120,1.031,-1.070,1.219
121,1.262,0.555,1.160
122,0.574,1.199,0.809
123,0.121,0.820,0.762
124,-0.066,0.129,0.887
125,-0.172,-1.141,1.223
126,-0.105,-1.188,1.109
127,0.332,-0.582,1.266
128,0.715,0.461,0.984
129,0.777,1.387,0.883
130,0.531,0.676,0.863
131,0.250,-0.477,1.035
132,0.164,-0.910,1.008
133,0.387,-0.570,1.113
134,0.758,-0.086,0.922
135,1.047,0.914,0.953
136,0.926,0.934,0.895
137,0.820,-0.172,1.012
138,0.844,-0.066,1.039
139,0.516,-0.383,1.047
140,0.473,-0.391,1.031
141,0.641,0.133,1.062
142,0.707,0.289,0.887
143,0.840,0.676,1.113
144,0.355,0.262,0.934
145,0.250,-0.164,0.926
146,0.273,-0.199,1.117
147,0.328,-0.551,1.012
148,0.539,0.133,1.059
149,0.395,0.031,1.059
150,0.227,0.312,0.824
151,0.273,0.332,0.945
152,0.188,-0.375,0.945
153,0.410,-0.129,1.055
154,0.562,-0.457,1.121
155,0.758,-0.031,1.094
156,0.859,0.680,0.918
157,0.680,0.262,0.984
158,0.602,0.188,0.949
159,0.602,0.188,0.949
160,0.598,-0.117,1.043
161,0.656,-0.469,1.023
162,0.730,-0.270,1.145
163,0.641,0.227,0.992
164,0.625,0.281,0.914
